pu,do,osrm_distance_m,osrm_duration_s
22,17,12559.7,1169.6
22,18,36732.5,2813.3
22,19,31282.9,2241.7
22,20,36517.2,2776.1
22,21,2359.4,230.4
22,22,0.0,0.0
22,23,16826.3,1179.2
22,24,25111.4,2100.6
22,25,12250.9,940.8
23,1,15922.5,1153.3
23,2,42296.5,2742.1
23,3,52996.0,3429.3
23,4,29556.7,2052.3
23,5,8156.8,745.8
23,6,9064.3,667.5
23,7,40100.6,2558.3
23,8,40113.8,2562.3
23,9,45974.9,2844.0
23,10,42659.2,2625.2
23,11,16560.5,1120.9
23,12,24336.2,1493.0
23,13,25492.5,1624.4
23,14,14607.5,971.6
23,15,48451.6,3024.2
23,16,48900.1,3025.8
23,17,29438.9,1948.1
23,18,47987.2,3095.0
23,19,51769.7,3167.2
23,20,47771.9,3057.8
23,21,18150.9,1289.3
23,22,17128.2,1177.4
23,23,0.0,0.0
23,24,34984.9,2658.2
23,25,24218.4,1582.7
24,1,32445.9,2274.3
24,2,35613.9,2442.0
24,3,16434.2,1363.6
24,4,11256.1,1118.7
24,5,49218.1,3311.7
24,6,29546.7,2377.7
24,7,9896.4,896.9
24,8,9677.7,859.3
24,9,20673.3,1613.6
24,10,26292.6,1712.0
24,11,27351.0,2280.5
24,12,20226.1,1838.3
24,13,12854.1,1304.4
24,14,25178.3,2108.2
24,15,21164.2,1401.9
24,16,24958.3,1654.5
24,17,22082.4,1714.1
24,18,11425.5,1029.3
24,19,29561.4,1929.7
24,20,11210.1,992.1
24,21,26381.4,2320.9
24,22,26259.0,2253.4
24,23,39793.2,2731.4
24,24,0.0,0.0
24,25,18726.4,1744.0
25,1,25754.9,2025.5
25,2,21411.7,1854.7
25,3,31635.3,2241.7
25,4,6421.5,802.7
25,5,29114.9,2184.2
25,6,14257.4,1064.6
25,7,16621.5,1292.0
25,8,16634.7,1296.0
25,9,22495.9,1577.7
25,10,25329.0,1707.6
25,11,12061.8,967.4
25,12,5371.4,562.1
25,13,6527.6,693.5
25,14,9889.0,795.1
25,15,24972.5,1757.9
25,16,25421.1,1759.5
25,17,3727.2,513.1
25,18,30181.0,2224.5
25,19,28290.7,1900.9
25,20,30062.0,2173.8
25,21,11050.0,1009.1
25,22,10969.8,940.3
25,23,22634.1,1563.2
25,24,15935.3,1683.1
25,25,0.0,0.0
1,26,32197.0,2132.9
1,27,46653.9,3061.8
1,28,40673.2,2919.1
1,29,35260.0,2193.1
1,30,52485.3,3698.7
1,31,41202.1,2733.4
1,32,43323.6,2632.7
1,33,24070.7,1876.8
1,34,24902.1,1956.1
1,35,32842.8,2645.1
1,36,29766.2,2328.3
1,37,29418.9,2294.7
1,38,48932.9,3448.1
1,39,37270.2,2870.7
1,40,26425.3,1962.9
1,41,32908.2,2467.5
1,42,38697.2,2407.7
1,43,30372.5,2264.4
1,44,29153.6,1810.6
1,45,21515.8,1610.8
1,46,51461.4,3256.1
1,47,37408.2,2271.5
1,48,25885.9,1855.2
1,49,27508.5,2111.5
1,50,26144.4,1876.4
2,26,21605.1,1834.0
2,27,12097.8,1351.5
2,28,15912.2,1197.9
2,29,21901.6,1593.3
2,30,1962.9,350.2
2,31,37440.5,2534.5
2,32,36267.2,2331.0
2,33,25109.0,2013.0
2,34,19181.4,1818.1
2,35,13657.8,1144.5
2,36,15154.6,1414.8
2,37,14891.2,1336.6
2,38,17351.6,1298.4
2,39,13399.1,1080.7
2,40,23031.2,1878.8
2,41,34786.8,2313.7
2,42,35425.3,2367.1
2,43,27424.6,2413.9
2,44,63237.7,3871.4
